"","Provincia","Comunidad_Autonoma","Longitud","Anchura","Grado_urbanizacion","Grado_ocupacion","Aparcamiento","Aparcamiento_seguridad","Aparcamiento_num_plazas","Coordenada_X","Coordenada_Y","Distancia_Puerto_Deportivo","Distancia_Hospital"
"103","almería","andalucía",250,25,"semiurbana","bajo","sí","no vigilado","Menos de 50 plazas",-2.4878,36.8315,2,6
"104","almería","andalucía",2,95,"aislada","medio","sí","no vigilado","Más de 100 plazas",-2.2316,36.7659,24,15
"105","almería","andalucía",1,45,"urbana","alto","sí","no vigilado","Más de 100 plazas",-2.4373,36.8173,2.5,5
"106","almería","andalucía",1,45,"urbana","alto","sí","no vigilado","Más de 100 plazas",-2.3147,36.8318,15,3
"107","almería","andalucía",1,40,"urbana","alto","sí","no vigilado","Más de 100 plazas",-2.4496,36.8256,0,4
"108","almería","andalucía",2,90,"urbana","alto","sí","no vigilado","Más de 100 plazas",-2.2454,36.7802,22,14
"109","almería","andalucía",100,20,"aislada","bajo","no","","",-2.4942,36.8286,3,5
"110","almería","andalucía",1,90,"aislada","bajo","sí","no vigilado","Más de 100 plazas",-2.3,36.8249,15,4
"111","almería","andalucía",2,50,"semiurbana","medio","sí","no vigilado","Más de 100 plazas",-2.9087,36.7445,10,12
"112","almería","andalucía",1,37,"aislada","bajo","sí","no vigilado","Entre 50 y 100 plazas",-1.8768,37.0337,4,50
"113","almería","andalucía",1,40,"urbana","alto","sí","no vigilado","Menos de 50 plazas",-1.8891,37.0032,1,50
"114","almería","andalucía",800,15,"aislada","bajo","no","","",-1.8794,37.0239,2,50
"115","almería","andalucía",1,75,"urbana","alto","sí","no vigilado","Más de 100 plazas",-1.9017,36.9849,0,50
"116","almería","andalucía",600,70,"urbana","medio","sí","no vigilado","Más de 100 plazas",-1.8955,36.9944,0.5,50
"117","almería","andalucía",1,70,"aislada","bajo","sí","vigilado","Más de 100 plazas",-1.8986,36.9529,2,50
"118","almería","andalucía",50,15,"aislada","bajo","no","","",-1.7075,37.3055,9,48
"119","almería","andalucía",170,15,"aislada","bajo","no","","",-1.7386,37.2799,6,45
"120","almería","andalucía",150,25,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",-1.7648,37.2539,0,39
"121","almería","andalucía",400,20,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",-1.7557,37.2652,2,39
"122","almería","andalucía",750,25,"semiurbana","medio","sí","no vigilado","Menos de 50 plazas",-1.6994,37.3212,10,49
"123","almería","andalucía",500,25,"semiurbana","bajo","sí","no vigilado","Menos de 50 plazas",-1.706,37.3094,7,46
"124","almería","andalucía",100,20,"aislada","bajo","no","","",-1.7314,37.2853,4,43
"125","almería","andalucía",600,15,"aislada","bajo","sí","no vigilado","Entre 50 y 100 plazas",-1.7784,37.2387,0.8,39
"126","almería","andalucía",110,15,"aislada","bajo","no","","",-1.7454,37.2736,4,43
"127","almería","andalucía",1,25,"urbana","medio","sí","no vigilado","Entre 50 y 100 plazas",-1.6934,37.3318,10,51
"128","almería","andalucía",1,30,"aislada","bajo","sí","no vigilado","Más de 100 plazas",-1.7924,37.2343,2,39
"129","almería","andalucía",550,40,"urbana","medio","sí","no vigilado","Entre 50 y 100 plazas",-1.7692,37.2499,0,39
"130","almería","andalucía",1,90,"urbana","medio / alto","sí","no vigilado","Más de 100 plazas",-2.7831,36.6916,0,6
"131","almería","andalucía",1,90,"urbana","medio / alto","sí","","Más de 100 plazas",-2.8029,36.7029,0,6
"132","pontevedra","galicia",50,30,"aislada","bajo","no","","",-8.9277,42.4519,1,30
"133","pontevedra","galicia",130,40,"semiurbana","medio","no","","",-8.9246,42.4529,1,30
"134","pontevedra","galicia",200,40,"semiurbana","medio","no","","",-8.9238,42.4542,0.5,30
"135","pontevedra","galicia",250,40,"urbana","medio","no","","",-8.9215,42.4559,0.5,30
"136","pontevedra","galicia",130,40,"semiurbana","medio","sí","no vigilado","Menos de 50 plazas",-8.9194,42.4593,0.3,30
"137","pontevedra","galicia",100,15,"semiurbana","medio","no","","",-8.9178,42.4598,0.5,30
"138","pontevedra","galicia",150,40,"semiurbana","medio","no","","",-8.9153,42.4617,1,30
"139","pontevedra","galicia",650,50,"semiurbana","medio","no","","",-8.9108,42.4625,1,29
"140","pontevedra","galicia",100,50,"semiurbana","medio","no","","",-8.9043,42.4609,2,29
"141","pontevedra","galicia",375,40,"urbana","alto","no","","",-8.7879,42.3978,2,17
"142","pontevedra","galicia",700,70,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",-8.7791,42.3943,3,16
"143","pontevedra","galicia",100,5,"semiurbana","alto","no","","",-8.7772,42.3906,4,16
"144","pontevedra","galicia",130,30,"semiurbana","medio","no","","",-8.771,42.2241,0.8,3
"145","pontevedra","galicia",200,40,"semiurbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.7763,42.22,1.6,4
"146","pontevedra","galicia",150,40,"semiurbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.7727,42.2227,1.5,5
"147","pontevedra","galicia",1,60,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",-8.7763,42.2093,3,5
"148","pontevedra","galicia",270,30,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.781,42.2032,2,6
"149","pontevedra","galicia",100,20,"semiurbana","medio","no","","",-8.7842,42.2009,1.5,7
"150","pontevedra","galicia",250,35,"semiurbana","alto","no","","",-8.7869,42.1995,1.3,7
"151","pontevedra","galicia",650,110,"urbana","alto","sí","no vigilado","Más de 100 plazas",-8.7924,42.1979,1,7
"152","pontevedra","galicia",600,35,"urbana","medio","sí","no vigilado","Menos de 50 plazas",-8.8033,42.1918,0.2,9
"153","pontevedra","galicia",130,20,"semiurbana","bajo","no","","",-8.8123,42.1899,1,10
"154","pontevedra","galicia",120,20,"aislada","bajo","no","","",-8.8122,42.1823,1.6,10
"155","pontevedra","galicia",70,35,"aislada","bajo","no","","",-8.8136,42.1761,3,12
"156","pontevedra","galicia",120,60,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.8139,42.1746,3,12
"157","pontevedra","galicia",670,70,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",-8.8987,42.4613,2.5,29
"158","pontevedra","galicia",2,70,"aislada","alto","sí","no vigilado","Más de 100 plazas",-8.8745,42.4454,3,25
"159","pontevedra","galicia",450,40,"semiurbana","medio","sí","no vigilado","Entre 50 y 100 plazas",-8.872,42.433,8,24
"160","pontevedra","galicia",300,40,"semiurbana","alto","no","","",-8.874,42.4302,8,24
"161","pontevedra","galicia",70,25,"aislada","alto","no","","",-8.8764,42.4293,8,24
"162","pontevedra","galicia",100,20,"aislada","bajo","no","","",-8.7573,42.3396,3,17
"163","pontevedra","galicia",400,25,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.7659,42.3361,2,18.5
"164","pontevedra","galicia",550,20,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.7695,42.3336,2,18.5
"165","pontevedra","galicia",300,20,"urbana","alto","no","","",-8.7743,42.3314,1,19
"166","pontevedra","galicia",50,3,"urbana","bajo","no","","",-8.7788,42.3296,0.5,19
"167","pontevedra","galicia",100,3,"urbana","bajo","sí","no vigilado","Menos de 50 plazas",-8.7803,42.3287,0.5,19.5
"168","pontevedra","galicia",200,3,"urbana","bajo","sí","no vigilado","Entre 50 y 100 plazas",-8.7823,42.328,0.3,19.5
"169","pontevedra","galicia",310,20,"urbana","medio","sí","no vigilado","Entre 50 y 100 plazas",-8.7898,42.3271,0.05,20
"170","pontevedra","galicia",50,1,"semiurbana","bajo","no","","",-8.7944,42.3284,0.5,21
"171","pontevedra","galicia",50,1,"semiurbana","bajo","no","","",-8.7961,42.3291,0.5,21
"172","pontevedra","galicia",300,6,"urbana","alto","sí","no vigilado","Menos de 50 plazas",-8.8001,42.3323,1,21.5
"173","pontevedra","galicia",50,6,"aislada","bajo","no","","",-8.8078,42.3386,2,23
"174","pontevedra","galicia",500,30,"aislada","alto","no","","",-8.8131,42.3377,3,23
"175","pontevedra","galicia",75,5,"aislada","bajo","no","","",-8.8181,42.3375,4,24
"176","pontevedra","galicia",300,10,"aislada","medio","sí","no vigilado","Menos de 50 plazas",-8.8217,42.3371,4,24
"177","pontevedra","galicia",50,5,"aislada","bajo","no","","",-8.826,42.3407,5,25
"178","pontevedra","galicia",100,7,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",-8.8268,42.3337,4,25
"179","pontevedra","galicia",250,10,"aislada","alto","sí","no vigilado","Menos de 50 plazas",-8.8252,42.3245,5,25
"180","pontevedra","galicia",1,200,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.8212,42.1426,0,12
"181","pontevedra","galicia",1,100,"urbana","alto","sí","no vigilado","Más de 100 plazas",-8.8195,42.1288,2,12
"182","pontevedra","galicia",1,68,"semiurbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.8287,42.1134,1,27.2
"183","pontevedra","galicia",350,80,"semiurbana","alto","no","","",-8.8741,42.4269,7,23
"184","pontevedra","galicia",100,20,"aislada","medio","no","","",-8.8756,42.423,7,23
"185","pontevedra","galicia",30,30,"aislada","bajo","no","","",-8.8717,42.414,5,23
"186","pontevedra","galicia",700,80,"aislada","alto","no","","",-8.8672,42.4128,5,23
"187","pontevedra","galicia",300,50,"aislada","alto","sí","no vigilado","Menos de 50 plazas",-8.8631,42.4096,5,23
"188","pontevedra","galicia",200,40,"aislada","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.8589,42.4043,4.5,22
"189","pontevedra","galicia",1,80,"aislada","alto","sí","no vigilado","Más de 100 plazas",-8.8505,42.398,3,21
"190","pontevedra","galicia",150,40,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.8438,42.3912,2,20
"191","pontevedra","galicia",400,80,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",-8.8319,42.3891,1,19
"192","pontevedra","galicia",100,30,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.8256,42.3918,0.3,19
"193","pontevedra","galicia",650,50,"urbana","alto","sí","no vigilado","Más de 100 plazas",-8.8223,42.3986,0.3,18
"194","pontevedra","galicia",750,80,"urbana","alto","no","","",-8.8119,42.4009,0.1,18
"195","pontevedra","galicia",150,20,"urbana","bajo","no","","",-8.8062,42.3994,0.05,18
"196","pontevedra","galicia",80,20,"urbana","alto","no","","",-8.8037,42.4005,0.3,18
"197","pontevedra","galicia",100,50,"urbana","medio","no","","",-8.8015,42.4011,0.5,18
"198","pontevedra","galicia",100,50,"urbana","bajo","no","","",-8.7996,42.4006,0.6,18
"199","pontevedra","galicia",100,25,"semiurbana","medio","no","","",-8.7926,42.3977,1.5,17
"200","pontevedra","galicia",50,35.6,"urbana","bajo","no","","",-8.7447,42.4088,5,13
"201","pontevedra","galicia",70,10,"semiurbana","bajo","no","","",-8.7462,42.4069,6,12
"202","pontevedra","galicia",585,15,"semiurbana","medio","no","","",-8.7391,42.4138,0.7,12
"203","pontevedra","galicia",60,5,"urbana","alto","sí","no vigilado","Menos de 50 plazas",-8.731,42.4173,3,10
"204","pontevedra","galicia",100,8,"semiurbana","alto","no","","",-8.7277,42.4177,2,10
"205","pontevedra","galicia",100,6,"semiurbana","medio","no","","",-8.7227,42.4212,1.5,10
"206","pontevedra","galicia",215,8,"semiurbana","alto","no","","",-8.7184,42.4228,1,9
"207","pontevedra","galicia",50,15,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.7078,42.4273,0.1,8
"208","pontevedra","galicia",340,1,"urbana","bajo","no","","",-8.7036,42.4346,1,7
"209","pontevedra","galicia",100,1,"semiurbana","bajo","no","","",-8.697,42.4358,1.5,7
"210","pontevedra","galicia",80,3,"semiurbana","medio","sí","","Menos de 50 plazas",-8.6848,42.428,3.5,6
"211","pontevedra","galicia",150,12,"aislada","alto","sí","","Menos de 50 plazas",-8.6821,42.4221,4,5
"212","pontevedra","galicia",700,10,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",-8.6765,42.4206,4,5
"213","pontevedra","galicia",210,25,"aislada","alto","sí","no vigilado","Más de 100 plazas",-8.715,42.3898,4,10
"214","pontevedra","galicia",350,25,"aislada","alto","sí","no vigilado","Menos de 50 plazas",-8.7207,42.3849,3,11
"215","pontevedra","galicia",750,25,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.7312,42.3745,0,13
"216","pontevedra","galicia",330,40,"urbana","alto","sí","no vigilado","Menos de 50 plazas",-8.7406,42.3679,2,14
"217","pontevedra","galicia",100,5,"aislada","bajo","no","","",-8.7499,42.3509,4,16
"218","pontevedra","galicia",300,5,"aislada","bajo","no","","",-8.7514,42.3492,4,16
"219","pontevedra","galicia",100,5,"aislada","bajo","no","","",-8.7086,42.4084,1.5,8
"220","pontevedra","galicia",200,8,"aislada","bajo","no","","",-8.7074,42.4141,1.5,8
"221","pontevedra","galicia",400,30,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.7524,42.3427,4,16
"222","pontevedra","galicia",150,15,"aislada","alto","no","","",-8.7546,42.3401,4,16
"223","pontevedra","galicia",250,20,"aislada","alto","sí","no vigilado","Menos de 50 plazas",-8.8189,42.3143,5,25
"224","pontevedra","galicia",100,10,"aislada","bajo","no","","",-8.9357,42.3648,15,27
"225","pontevedra","galicia",150,15,"aislada","bajo","no","","",-8.9338,42.3697,15,27
"226","pontevedra","galicia",270,15,"semiurbana","medio","no","","",-8.9325,42.374,15,27
"227","pontevedra","galicia",300,25,"aislada","bajo","no","","",-8.9253,42.39,15,27
"228","pontevedra","galicia",100,5,"aislada","bajo","no","","",-8.9399,42.3669,15,27
"229","pontevedra","galicia",200,10,"aislada","bajo","no","","",-8.9443,42.3794,15,27
"230","pontevedra","galicia",100,7,"aislada","bajo","no","","",-8.9347,42.3484,15,27
"231","pontevedra","galicia",100,7,"aislada","bajo","no","","",-8.9351,42.3442,15,27
"232","pontevedra","galicia",100,12,"aislada","bajo","no","","",-8.8197,42.3021,10,26
"233","pontevedra","galicia",250,30,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.8207,42.2952,9,26
"234","pontevedra","galicia",200,25,"semiurbana","alto","no","","",-8.8198,42.2906,9,26
"235","pontevedra","galicia",250,20,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",-8.8214,42.2875,9,26
"236","pontevedra","galicia",15,16,"semiurbana","bajo","sí","","Menos de 50 plazas",-8.822,42.2855,9,27
"237","pontevedra","galicia",50,1,"semiurbana","bajo","sí","","Menos de 50 plazas",-8.8218,42.2835,9,27
"238","pontevedra","galicia",200,10,"urbana","bajo","sí","no vigilado","Menos de 50 plazas",-8.8177,42.2797,9,27
"239","pontevedra","galicia",120,10,"urbana","bajo","sí","no vigilado","Menos de 50 plazas",-8.818,42.2779,9,27
"240","pontevedra","galicia",633,60,"urbana","medio","no","","",-8.8214,42.2753,9,28
"241","pontevedra","galicia",100,1,"semiurbana","bajo","no","","",-8.8254,42.2765,10,28
"242","pontevedra","galicia",450,20,"semiurbana","alto","no","","",-8.8304,42.2778,11,29
"243","pontevedra","galicia",200,25,"aislada","medio","sí","","Menos de 50 plazas",-8.8333,42.2838,11,31
"244","pontevedra","galicia",180,15,"aislada","medio","sí","","Menos de 50 plazas",-8.8369,42.2866,11,31
"245","pontevedra","galicia",90,10,"aislada","alto","sí","","Menos de 50 plazas",-8.8373,42.2872,12,31
"246","pontevedra","galicia",165,5,"aislada","medio","no","","",-8.848,42.2948,14.5,33.5
"247","pontevedra","galicia",70,7,"semiurbana","bajo","no","","",-8.8476,42.2976,15,34
"248","pontevedra","galicia",100,5,"aislada","bajo","no","","",-8.8495,42.2995,15,34
"249","pontevedra","galicia",96,5,"aislada","bajo","no","","",-8.8516,42.3028,17,36
"250","pontevedra","galicia",500,10,"semiurbana","bajo","sí","","Menos de 50 plazas",-8.6981,42.2815,5,15
"251","pontevedra","galicia",80,1,"urbana","medio","sí","","Menos de 50 plazas",-8.6839,42.2837,1,10
"252","pontevedra","galicia",300,3,"semiurbana","bajo","no","","",-8.6608,42.3134,2,12
